제목,본문
"""일요일엔 짜장라면 요리사""옛말…가장 많이 먹은 음식은","


 배달 애플리케이션(앱) 이용자들은 토요일엔 족발과 보쌈을, 일요일엔 피자를 많이 시켜 먹는 것으로 조사됐다.하나금융경영연구소는 하나카드 배달 앱 결제 데이터를 분석한 '배달 앱 이용 현황과 메뉴 유형별 수요특성' 보고서를 11일 발표했다.데이터 분석 결과 전국 17개 시도 중 서울과 경기에서 배달 이용 건수와 금액이 차지하는 비중이 절반이 넘는 것(54%)으로 나타났다. 서울 25개 자치구 중에서는 송파구와 강남구의 배달앱 이용 건수와 금액이 15%를 차지했다.서울시 426개 행정동 중 배달 수요가 가장 많은 곳은 강남구 역삼1동이었다. 역삼1동은 배달 수요가 두 번째로 높은 강서구 화곡1동보다도 이용 건수와 금액이 약 1.6배 많았다. 역삼 1동의 배달 수요가 높은 이유는 30대 인구 비율이 높기 때문인 것으로 분석됐다. 보고서에 따르면 전체 배달 앱 이용 건수 중 30대가 차지하는 비중이 약 39%로 가장 컸고, 40대(28%), 20대(25%)가 뒤를 이었다.코로나19 이후 배달앱 이용 건수와 금액은 크게 늘어난 것으로 조사됐다. 1인당 월평균 배달 앱 이용 건수는 2020년 1월 4.1건에서 2021년 12월 5.4건으로 증가해 평균 주 1회 배달 음식을 이용하는 것으로 파악됐다. 같은 기간 1인당 월 평균 배달앱 이용 금액은 8만8000원에서 13만4000원으로 52% 증가했다.배달 수요는 주말이 가까워질수록 증가했고, 월요일 대비 토요일 이용 금액은 66% 늘어나는 것으로 조사됐다. 다만 주말이라도 토요일과 일요일 메뉴 선호도와 증가율은 차이가 있었다. 월요일 대비 토요일 배달 수요가 가장 많이 늘어난 메뉴는 족발·보쌈(93%)이었고, 야식(73%), 치킨류(70%) 등이 뒤를 이었다. 반면 월요일 대비 일요일에 가장 수요가 많이 늘어난 메뉴는 피자(99%)였고, 중식(93%), 야식(73%) 등이 뒤를 이었다. 하나금융경영연구소는 ""토요일보다 일요일엔 가볍게 식사를 해결하기 위한 메뉴 수요가 더 많은 것으로 해석된다""고 설명했다.[김유신 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"""연 3%대 주담대 갈아타세요""…안심전환대출 내달부터 신청받아","정부가 서민·실수요자의 변동금리 주택담보대출(이하 주담대)을 고정금리 상품으로 갈아탈 수 있는 안심전환대출 공급을 다음달 시작한다. 금리 인상기에 주담대 금리를 연 3%대로 적용받을 수 있어 서민·실수요자의 주거 부담이 경감될 것으로 기대된다.한국주택금융공사(HF)는 오는 17일부터 보금자리론 금리를 최대 0.35%포인트 낮춰 연 4.15%~4.55%를 적용한다고 11일 밝혔다. 이와 함께 국민·기업·농협·신한·우리·하나 등 6대 은행 홈페이지를 통해 안심전환대출 사전안내를 시작하며, 다음달 15일부터 25조원 규모의 우대형 안심전환대출 신청을 받는다.보금자리론 금리 17일부터 0.35%포인트 인하



 공사는 장기·고정금리·분할상환 주택담보대출인 보금자리론 금리를 오는 17일부터 0.35% 포인트 인하한다.이에 따라 공사 누리집을 통해 신청하는 'u-보금자리론'은 연 4.25%(10년)에서 4.55%(50년), 전자약정 등 온라인으로 신청하는 '아낌e-보금자리론'은 이보다 0.1%포인트 낮은 연 4.15%(10년)에서 4.45%(50년)가 적용된다.공사 관계자는 ""국고채 금리가 다소 안정세를 보이고 있는 상황을 반영해 취약계층의 상환부담을 완화하기 위해 금리 인하를 결정했다""고 말했다.우대형 안심전환대출 금리, 보금자리론보다 낮아



 공사는 금리 상승기 취약계층의 금융부담 완화를 위해 안심전환대출 금리를 u-보금자리론 대비 0.45~0.55% 포인트 낮춘다. 이에 안심전환대출 금리는 연 3.8%(10년)에서 4.0%(30년), 만 39세 이하면서 연소득 6000만원 이하 저소득 청년층은 연 3.7%(10년)에서 3.9%(30년)가 적용된다.안심전환대출은 제1·2금융권에서 받은 변동금리 또는 혼합형금리 주담대를 공사의 장기·고정금리로 대환하는 상품으로, 올해 우대형 25조원을 공급한다. 그 대상은 부부합산 소득 7000만원 이하, 주택가격 4억원 이하인 1주택자다. 기존 대출 잔액 범위 내에서 최대 2억5000만원까지 대출이 가능하다. 기존 주담대 이용자가 추가 비용 부담 없이 안심전환대출로 쉽게 갈아탈 수 있도록 기존 대출에 대한 중도상환수수료를 면제한다. 단, 만기까지 금리가 고정돼 있는 금융기관 주담대 또는 정책모기지(보금자리론, 적격대출, 디딤돌대출) 이용자는 신청할 수 없다.오는 17일부터 공사와 6대 은행 홈페이지를 통해 상품 내용과 주택가격 등 대상 여부, 신청방법과 일정 등을 안내한다. 6대 은행에서 주담대를 받은 고객은 해당 은행 홈페이지로, 이외 은행과 제2금융권에서 주담대를 받은 고객은 공사 홈페이지에서 확인하면 된다. 주택가격 3억원 이하 차주는 9월 15일부터 28일까지, 주택가격 4억원 이하 차주는 10월 6일부터 10월 13일까지 안심전환대출을 신청할 수 있다. 공사는 대상자 선정을 선착순이 아닌 주택가격 저가 순으로 결정할 계획이다.최준우 사장은 ""안심전환대출은 연 3%대 금리가 만기까지 고정되는 만큼 금리 상승 위험에서 자유롭고 중도상환수수료도 면제된다""며 ""안심전환대출로 갈아타는 것에 관심을 가져볼 만하다""고 말했다.[전종헌 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"SC제일은행, 첫 거래 고객 달러예금 최고 연 3.5% 특판 선봬","


 SC제일은행은 미 달러화 외화정기예금 가입 고객에게 최고 3.5% 특별금리를 제공하는 이벤트를 8월 26일까지 실시한다.이벤트 대상은 SC제일은행 영업점을 통해 외화정기예금에 미화 100달러 이상 가입하는 첫 거래 고객이다. 가입 기간에 따라 2개월제 2.5%, 3개월제 3.0%, 6개월제는 3.5%의 특별금리를 제공한다. 총 모집한도는 미화 2500만 달러며 한도가 소진되면 이벤트는 조기 종료된다.미 달러화 예금의 경우 요즘 같은 달러화 강세 상황이 만기까지 지속되면 이자(과세)와는 별도로 환차익(비과세)까지 기대할 수 있다.배순창 SC제일은행 수신상품부장은 ""글로벌 경제의 변동성이 커지고 미 달러화가 고공행진을 하면서 달러화 예금상품을 찾는 고객들이 눈에 띄게 늘고 있다""며 ""글로벌 안전자산인 달러화를 예금자보호 대상인 정기예금으로 운용하면서 업계 최고 수준의 높은 예금 금리에 더해 달러화 가치 상승에 따른 환차익까지 노려볼 수 있는 기회가 될 것""이라고 말했다.[류영상 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
2022 세계지식포럼 티저│초과회복: 글로벌 번영과 자유의 재건,"


  세계는 그 어느 때보다 중대한 전환점을 맞았다. 러시아의 우크라이나 침공은 국제질서의 재편을 촉진하면서 민주주의 국가와 권위주의 국가라는 양대 진영 간 대결 구도가 형성됐다. 과거 수십 년간 국제질서는 경제적 협력을 바탕으로 하나의 가치사슬로 연결돼왔지만, 이제 분열의 시대로 접어들면서 신(新)냉전이 시작되고 있는 것이다.우크라이나 전쟁은 글로벌 경제 측면에서도 전환의 '트리거(trigger)'가 됐다. 전쟁으로 촉발된 식량과 에너지 가격 상승은 세계 경제가 그동안 유지해왔던 균형점을 무너뜨렸다. 지난 2년간 코로나19 팬데믹으로 인해 세계 각국이 재정·통화정책으로 막대한 유동성을 투입한 가운데 더해진 이 같은 충격은 물가 상승과 금리 인상으로 이어지며 금융시장의 불확실성을 높이고 있다.팬데믹 이후 상품 공급망 재편에 나선 세계 각국은 경제성이 아닌, 지정학과 안보적 측면을 우선적으로 고려하고 있다. 세계 각국은 정치뿐 아니라 경제적으로도 블록화되는 움직임에 가속도가 붙은 것이다. 기후변화에 대한 대응 또한 글로벌 정치·경제의 '게임 체인저'가 되고 있다. 이는 분열된 세계 속에서 '동맹의 요건'으로 자리 잡을 전망이다.세계는 '반(反)세계화'의 흐름이 이어지고 있지만, 팬데믹 이후 눈부신 기술의 발전으로 인해 세계인들은 그 어느 때보다 하나로 연결된 상태다. 우크라이나 전쟁 이후 세계 각국의 시민들이 온라인을 바탕으로 우크라이나를 돕기 위한 실질적인 운동에 참여한 것이 그 단적인 예다. 어느 때보다 가깝게 연결된 세계인들은 같은 콘텐츠를 보고 즐기며 생각을 공유하고 있다.제23회 세계지식포럼은 세계가 직면한 정치·경제·사회적 도전을 극복하고 더 나은 세계로 나아갈 수 있는 해법을 찾기 위해 '초과회복: 글로벌 번영과 자유의 재건(Supercompensation: Restoring Global Prosperity & Freedom)을 주제로 제시한다. '초과회복'은 회복을 넘어 더 나은 상태가 되는 단계를 의미한다.그 지향점은 자유와 번영이다. 팬데믹, 그리고 전쟁으로 인해 자유의 가치는 훼손되고 있고, 인류의 지속적인 번영도 도전을 맞고 있다. 제23회 세계지식포럼은 단순히 과거 상태로의 복구가 아닌, 그 이상의 도약을 위한 방안을 모색한다.✻ 세계지식포럼 강연 콘텐츠의 저작권은 ‘매일경제’에 있습니다. 영상 및 오디오의 불법 다운로드 및 재업로드, 재가공 등의 행위는 법적으로 금지되어 있습니다.[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"진주저축은행, 업계 최초 AI 기반 '여신봇' 도입","대출 시장이 디지털 중심으로 가속화하는 가운데 저축은행 업계도 디지털 채널을 구축하고 있다.진주저축은행은 자사 대출에 챗봇을 활용한 대출신청 프로세스인 '여신봇'을 도입한다고 10일 밝혔다. 순차적으로 '수신봇'도 준비해 11월부터 서비스를 한다는 계획이다. 여신봇 도입은 저축은행 업계 최초다. 이는 올해 추진 중인 금융소비자 편의성 증대를 위한 디지털 채널 강화 전략의 일환으로, 인공지능(AI)을 기반으로 한 챗봇을 활용해 대출과정을 대폭 간소화하는데 중점을 뒀다. 진주에 본점을 둔 진주저축은행은 창원, 울산, 부산 등 경남을 중심으로 영업을 하고 있다.진주저축은행 관계자는 ""디지털금융 강화 전략에 따라 올해 상반기 '지니뱅크'를 선보인데 이어 여신봇을 도입하게 됐다""며 ""금융소비자 편의성 증대 외에도 내부적으로는 여신심사 효율화와 함께 규모 확대가 가능할 것으로 판단하고 있다""고 말했다. 진주저축은행과 손잡고 여신봇 서비스를 제공하는 바이너리티에 따르면 여신봇 도입 시 대출신청 효율성은 약 45%, 절반 가량 높아진다. 상담원 업무 가중도 역시 50% 정도 절감될 것이라는 게 자체 분석이다. 바이너리티 측은 ""자체 테스트 결과 여신봇 활용 시 기존 1.9명의 업무를 한 명이 처리할 수 있는 것으로 확인됐다""고 설명했다.  [전종헌 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"'어부바' 신협, 유튜브 채널 구독자 2만명 돌파","신협중앙회가 유튜브 홍보 마케팅으로 2030세대와 소통에 나서고 있다.10일 신협에 따르면 공식 유튜브 구독자가 2만명, 전체 콘텐츠 조회수는 7000만회를 넘어섰다.신협은 유튜브 채널을 통해 '신협 경제 밸런스 게임', '꼬리에 꼬리를 무는 신협 이야기', '신협중앙회 신입직원이 떴다!' 등 흥미와 정보를 모두 잡은 다양한 카테고리 영상을 게시해 호응을 얻고 있다.특히, 신협 공식 마스코트인 '어부바'가 출연하는 '어부바 V-log' 코너를 통해 '어부바의 여름휴가', '어부바의 MBTI는?' 등의 콘텐츠를 게시하며 귀엽고 친근한 이미지를 내세운 캐릭터 마케팅을 전개하고 있다. 실제 어부바 캐릭터 굿즈는 실용성과 귀여운 디자인으로 인기를 얻고 있다.신협 관계자는 ""신협 유튜브 채널을 통해 MZ는 물론 5060까지 세대를 뛰어넘어 모든 이용자와 소통하고 따뜻하며 신뢰할 수 있는 신협의 브랜드 이미지를 효과적으로 알려 나갈 것""이라고 말했다.[전종헌 매경닷컴 기자]
                    


[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
'14조 관리' 인천시 1·2금고에 신한·NH농협銀,"도합 14조원 규모의 자금을 관리하는 인천시 1금고, 2금고에 신한은행, NH농협은행이 각각 지정됐다. KB국민은행, 하나은행 등이 도전장을 냈지만 기존 금고 은행들이 수성에 성공했다.10일 금융권에 따르면 인천시는 이날 PT 심사를 마치고 일반회계·공기업특별회계·기금운용 등을 관리하는 1금고 운영 은행으로 신한은행을, 기타특별회계 자금을 맡은 2금고로는 NH농협은행을 확정했다. 2022년 본예산 기준으로 1금고는 12조원, 2금고는 2조원 규모다. 현재도 1금고 은행인 신한은행, 2금고 은행인 NH농협은행은 2023년 1월부터 2026년 12월까지 4년간 더 같은 일을 수행하게 됐다. 앞서 1금고에는 신한은행·KB국민은행·하나은행이, 2금고에는 NH농협은행·KB국민은행·하나은행이 지원했다.지난 16년간 시금고 운영을 맡으며 보여준 금고 업무 관리 능력, 안정성 등이 높은 평가를 받았다. 신한은행과 NH농협은행은 2007년부터 각각 인천시 1금고와 2금고를 관리해 왔다. 특히 인천시 세금 납부 시스템인 이택스(ETAX)가 내년 1월 행정안전부가 구축하는 차세대 지방세 시스템으로 통합되는데, 이에 대한 대응 능력에 있어 신한은행이 높은 점수를 받은 것으로 알려진다. 시금고 평가 항목은 △금융기관의 대내외적 신용도 및 재무 구조의 안정성(25점) △시에 대한 대출 및 예금 금리(18점) △시민 이용 편의성(24점) △금고업무 관리 능력(24점) △지역사회 기여 및 시와의 협력 사업(7점) △기타 사항(2점) 등으로 구성된다.하나은행은 청라국제도시에 계열사와 각종 시설을 한데 모은 '하나드림타운'을 조성하는 등 지역사회 기여 및 시와의 협력 사업 등을 내세워 1·2금고를 모두 노렸지만 선정되지 못했다. KB국민은행은 지난해 경기도 2금고 사업자로 선정된 뒤로 기관 영업을 강화하며 도전했지만 고배를 마셨다.[서정원 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
휘발유 1700원대도 나오는데…경유 넣는 디젤 차주는 '뒷목',"



 고공행진했던 유가가 안정세에 들어서면서 주유소 기름값이 제자리를 찾아가고 있다. 일부 지역에서는 휘발유 가격이 리터(L)당 1700원대로 내려갔고, 아직 휘발유보다 비싸긴 하지만 경유 가격도 내림세를 지속하고 있다.9일 한국석유공사 유가정보서비스 오피넷에 따르면 이달 첫째 주(7월 31일~8월 4일) 전국 주유소의 휘발유 평균 판매가는 전주 대비 55.8원 떨어진 리터당 1881.9원이었다. 일주일 기준 휘발유 평균 가격이 리터당 1800원대로 내려간 것은 올해 3월 둘째 주(1861원) 이후 5개월여 만이다.휘발유보다 리터당 100원 가까이 비쌌던 경유도 이달 첫째 주 평균 가격이 이전보다 더 떨어졌다. 8월 첫째 주 경우의 평균 판매가는 리터당 1969.8원으로 집계돼 지난주 대비 45.7원 하락했다. 국내 휘발유와 경유 가격은 5주 연속 떨어지고 있다. 이 같은 하락세는 정부의 유류세 인하 영향이 크다. 정부가 지난달 1일부터 유류세 인하 폭을 37%로 확대하고 이달 초 열린 국무회의에서는 2024년 말까지 유류세 탄력세율 한도를 30%에서 50%로 한시 확대하는 내용의 교통·에너지·환경세법 개정안을 의결했다. 다만 경유의 평균 가격이 여전히 휘발유보다 높고 하락폭은 상대적으로 적어 가격 차이가 좀처럼 좁혀지지 않고 있다.경유는 주로 승용차에 쓰이는 휘발유와 달리 버스, 화물차량, 레미콘 등 다양한 산업 수요에 활용된다. 유럽에서는 경유가 수송용을 비롯해 발전연료나 난방용으로도 쓰여 글로벌 기준으로는 경유가 휘발유보다 가격이 높게 책정되는 게 일반적이다.지난해 싱가포르 거래소에서 배럴당 휘발유 가격은 75.3달러였지만, 경유는 77.8달러로 휘발유보다 2.5달러 비쌌다. 지난 2020년엔 배럴당 경유와 휘발유의 가격 차이가 4.4달러로 벌어지기도 했다.정작 국내에선 경유가 휘발유보다 저렴한 경우가 많았다. 경유는 산업용 연료로 보는 만큼 세금을 낮게 책정하기 때문이다.하지만 러시아-우크라이나 전쟁 등의 영향으로 경유 가격이 크게 올랐고 이 때문에 세금 차이에도 불구하고 14년 만에 휘발유-경유의 가격 역전 현상이 일어났다.지난달 경유 평균 가격은 배럴달 145.3달러로, 휘발유(116.6달러)보다 28.7달러 비싸다.러시아-우크라이나 전쟁 이후 치솟은 3대 유종 가격이 최근 모두 떨어져 전쟁 이전 수준으로 돌아갔다. 이에 기름값이 전반적으로 이전과 유사한 수준으로 안정화에 들어설 것이란 예상이 나온다. 업계 관계자는 ""일반적으로 국제 유가가 2~3주 뒤에 국내 석유가격에 반영되는 만큼 올 하반기엔 더 안정된 흐름을 보일 수 있을 것""이라면서 ""다만 경유는 설비가 부족함에도 러시아산 수입을 줄이면서 가격이 급등한 만큼 글로벌 영향을 좀 더 받을 수 있다""고 내다봤다.[배윤경 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"농림장관 ""강화된 추석 물가대책 내놓는다…식량안보 강화방안 10월 발표""","







 정황근 농림축산식품부 장관이 물가 안정과 식량안보 강화 등을 골자로 10일 대통령실 업무보고에 나섰다. 현안인 물가 상승에 대응하기 위해 추석 성수품 공급 대책을 평년보다 강화하는 한편, 장기적인 식량 안보를 위해 생산구조 개편 및 비축 강화를 추진할 방침이다.10일 세종정부청사에서 진행한 업무보고 사전 기자간담회에서 정 장관은 ""평년보다 추석 날짜가 이른 만큼 추석 성수품 14개 품목을 선정해 한 달 전부타 작황과 수급을 관리 중""이라며 ""농식품부와 농촌진흥청, 농협, 농촌경제연구원, 지자체 공동으로 대응하고 있다""고 밝혔다. 통계청에 따르면 7월 소비자물가 상승률은 전년동기대비 6.3%를 기록해 외환위기인 1998년 11월 이후 가장 큰 폭으로 상승했다. 농산물은 8.5%, 축산물도 6.5% 상승률을 기록했으며, 외식물가는 8.4% 급등해 1992년 이후 가장 높은 상승폭을 보였다.정 장관은 ""추석을 정점으로 농축산물 물가가 하락하는 경향이 있는 만큼 추석 성수품 공급에 집중할 계획""이라며 ""배추나 감자 등 품목을 정부가 수매하고 이를 통해 재배 면적 확보를 추진하고 있다""고 했다.대통령실 관계자는 ""업무보고를 받은 윤석열 대통령이 주요 농축산 물가 안정에 만전을 기해달라 요청했다""며 ""집중호우가 농산물 수급 불안으로 이어지지 않도록 신속 복구를 당부했다""고 전했다.농식품부는 봉화 산불 피해 지역을 농지로 전환해 고랭지 채소 수급 안정도 추진하고 있다. 올해 3월 발생한 산불로 큰 피해를 입은 봉화 지역의 일부를 농지로 전환해 수급 불안정이 거론되는 고랭지 채소 재배에 활용한다는 복안이다.최근 집중 호우에도 추석 농축산물 공급에는 큰 지장이 없다는 입장이다. 정 장관은 ""10일 오전 10시 기준 232ha가 침수피해 입은 것으로 보고됐지만 대부분은 벼""라며 ""추석 때 수요가 집중되는 고랭지 배추, 무, 감자나 과일은 피해가 크지 않은 상황""이라고 했다.중장기적으로는 식량 안보 강화를 위해 쌀 중심의 생산구조를 바꾸는 한편 비축량을 늘릴 계획이다. 정 장관은 ""국내 자급률이 낮은 밀과 콩에 전략직불제를 도입해, 쌀을 키우다 밀이나 콩을 기르면 직불금을 추가 지급할 것""이라며 ""분질미를 보급해 기존 쌀 중심 생산 체제를 바꿀 것""이라고 했다. 이를 통해 줄곧 내리막을 걷던 식량 자급률을 다시 올리겠다는 계획이다.농식품부는 추가로 식량안보를 위해 현재 한국 기업이 해외에 2곳 보유하고 있는 곡물 엘리베이터를 추가로 2~3개 확보하는 것을 목표로 저금리에 정책자금을 지원하는 방안을 검토하고 있다.농식품부는 이 같은 내용을 골자로 한 중장기 식량안보 강화방안을 올 10월 중 발표할 계획이다. 대통령실 관계자는 ""윤 대통령은 이번 정부 임기 중 식량 자급률을 50% 이상을 끌어올려 달라 당부했다""고 말했다. 2020년 기준 한국의 식량 자급률은 45.8%다.농업의 지속가능성을 위해 청년농 육성에도 팔을 걷고 나섰다. 정 장관은 ""윤석열 정부 임기 중 청년농을 3만가구까지 늘릴 것""이라며 ""스마트팜을 장기 저금리 임대하는 한편, 현재 10년 간 갚는 대출을 30년 동안 갚도록 제도를 바꿀 것""이라고 말했다.농촌 공간을 재정비 하기 위해 농촌공간계획법도 조만간 발의할 방침이다. 현재 농촌은 개발계획이 정립되지 않아 축사가 마을 인근에 있는 경우가 흔하다. 이를 축사지역이나 거주지역, 서비스지역 등으로 정리하는 것이 목표다.사회적으로 관심이 높아진 반려동물과 관련해서는 내년 중 반려동물 보유세 도입에 관해 대국민 의견을 수렴하는 등 연구 용역을 추진한다. 동물 학대 행위자는 향후 동물사육 금지처분을 받도록 하는 내용의 법 개정도 추진한다.축산업계와 갈등을 빚고 있는 우유 원유가격 결정제도 개편과 관련해서는 ""정부를 위한 제도 개편이 아니라 낙농인들을 위한 제도개편""이라며 ""(대통령께) 따로 보고드릴 사안은 아니라고 생각한다""고 말했다. 외국산 가공용 원유 대비 국산 원유 가격이 높게 유지돼서는 가격 경쟁력이 없으니 체계 개편이 시급하다는 것이다.[송민근 기자 / 김대기 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
시대착오적 '총수 친족범위' 줄인다,"◆ 총수 친족규제 완화 ◆공정거래위원회가 대기업 규제의 기준 역할을 하는 총수(동일인)의 친족 범위를 대폭 축소한다. 현행 혈족 6촌, 인척 5촌 이내인 친족 범위를 혈족 4촌, 인척 3촌 이내로 각각 줄이는 것이 핵심이다. 1987년 총수의 친족을 중심축으로 하는 특수관계인 규정이 시행된 이래 가장 큰 폭의 축소다. 지난해 기준 9000명에 육박했던 60개 대기업 총수의 친족 수가 4500여 명 수준으로 줄어 기업 부담이 크게 감소할 것으로 기대된다.10일 공정위는 대기업 규제를 완화하는 방향의 공정거래법 시행령 개정안을 입법예고했다. 다음달 20일까지 의견을 수렴해 연내 개정 작업을 마무리하고, 내년도 대기업집단 지정 및 자료 제출 과정에 곧바로 반영할 계획이다. 개정안은 친족 범위를 혈족 4촌·인척 3촌 이내로 규정했다. 이에 따라 5촌 당숙(할아버지 형제의 자녀)과 6촌 재종형제(당숙의 자녀) 등은 총수의 친족에서 제외됐다. 인척 관계에선 3촌에 해당하는 처삼촌·처조카까지가 친족에 포함된다. 총수의 친족은 공정거래법상 특수관계인에 해당해 주식 소유 현황 등 지정된 자료를 매년 공정위에 제출해야 한다. 경미한 자료 누락은 경고처분을 받지만, 중대성이 큰 고의 허위 신고의 경우 총수가 검찰에 고발당하고 형사처벌까지 받을 수 있다. 특수관계인은 계열사 여부나 일감 몰아주기 금지 등 대기업 규제 대상을 판단하는 기준이기도 하다.그간 친족 범위가 지나치게 광범위해 기업 경영 활동에 부담을 준다는 지적이 끊이지 않았다. 실제로 이해진 네이버 글로벌투자책임자, 김범수 카카오 의장 등 유력한 기업인들이 자료 누락을 이유로 공정위 조사를 받거나 검찰에 고발당하며 어려움을 겪은 바 있다. 제도 시행 이래 총수의 친족 범위는 2009년 혈족 8촌 이내에서 6촌으로 단 한 번 축소되는 데 그쳤다. 윤수현 공정위 부위원장은 이날 ""국민 인식과 비교해 친족 범위가 넓고 이들을 모두 파악하기가 쉽지 않다""고 밝혔다. 다만 공정위는 혈족 5·6촌과 인척 4촌이 총수의 지배력에 도움이 되는 경우는 예외적으로 친족에 포함하기로 했다. 공정위는 '규제 사각지대'로 지적됐던 총수의 사실혼 배우자에 대해서도 친족으로 지정할 길을 열었다. 다만 총수와의 사이에 법률상 자녀(친생자)가 있는 경우에만 친족에 포함하기로 했다. 이번 개정안에 한국계 외국인을 총수로 지정하는 방안은 포함되지 않았다. [백상경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
